1. 甜度標籤：可以分為「骨乾」、「微甜」、「中等甜度」、「非常甜」等，以表示葡萄酒的甜度。,3. 「中度甘甜盛宴」：代表葡萄酒的甜度適中，能滿足不同的口味需求。
1. 甜度標籤：可以分為「骨乾」、「微甜」、「中等甜度」、「非常甜」等，以表示葡萄酒的甜度。,4. 「甜蜜極致」：代表葡萄酒的甜度很高，適合喜歡甜味的人士享用。
2. 酸度標籤：可以分為「低酸度」、「中等酸度」、「高酸度」等，以表示葡萄酒的酸度。,1. 清脆酸度： 代表低至中等酸度的葡萄酒
2. 酸度標籤：可以分為「低酸度」、「中等酸度」、「高酸度」等，以表示葡萄酒的酸度。,2. 平衡酸韻： 代表中等酸度范疇的葡萄酒
2. 酸度標籤：可以分為「低酸度」、「中等酸度」、「高酸度」等，以表示葡萄酒的酸度。,3. 酸度之峰： 代表具有高酸度的葡萄酒
3. 單寧標籤：可以分為「低單寧」、「中等單寧」、「高單寧」等，以表示葡萄酒的單寧感。,"1. ""極致柔滑：低單寧"""
3. 單寧標籤：可以分為「低單寧」、「中等單寧」、「高單寧」等，以表示葡萄酒的單寧感。,"2. ""細緻平衡：中等單寧"""
3. 單寧標籤：可以分為「低單寧」、「中等單寧」、「高單寧」等，以表示葡萄酒的單寧感。,"3. ""澀感翻倍：高單寧"""
4. 酒精標籤：可以用來表示葡萄,1. 強烈烈酒： 描述葡萄酒含有較高酒精度數的特徵
4. 酒精標籤：可以用來表示葡萄,2. 醇厚豐滿： 用於形容酒精帶來的黏稠口感
4. 酒精標籤：可以用來表示葡萄,3. 香氣滿溢： 代表酒精增加的香氣感受
